seat_no,seat,reservation,electors,votes_polled,turnout_pct,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin_votes,margin_pct
1,Sirpur,GENERAL,190962,151288,79.22,Koneru Konappa,BSP,49033,Kaveti Sammaiah,BRS,40196,8837,5.84
2,Chennur,SC,174748,127721,73.09,Nallala Odelu,BRS,64867,Gaddam Vinod,INC,38703,26164,20.49
3,Bellampalle,SC,160990,119454,74.2,Durgam Chinnaiah,BRS,73779,Gunda Mallesh,CPI,21251,52528,43.97
4,Mancherial,GENERAL,238486,154453,64.76,Diwakar Rao Nadipelli,BRS,95171,Gaddam Aravinda Reddy,INC,35921,59250,38.36
5,Asifabad,ST,190257,146438,76.97,Kova Laxmi,BRS,59094,Atram Sakku,INC,40039,19055,13.01
6,Khanapur,ST,186545,136717,73.29,Ajmeera Rekha,BRS,67442,Rathod Ritesh,TDP,28931,38511,28.17
7,Adilabad,GENERAL,223262,143479,64.26,Jogu Ramanna,BRS,58705,Payal Shanker,BJP,43994,14711,10.25
8,Boath,ST,176205,138499,78.6,Rathod Bapurao,BRS,62870,Jadhav Anil Kumar,INC,35877,26993,19.49
9,Nirmal,GENERAL,210177,161515,76.85,Allolla Indra Karan Reddy,BSP,61368,Kuchadi Sriharirao,BRS,52871,8497,5.26
10,Mudhole,GENERAL,208874,162872,77.98,Gaddigari Vittal Reddy,INC,63322,Dr. Padakanti Ramadevi,BJP,48485,14837,9.11
11,Armur,GENERAL,182821,135828,74.3,Ashannagari Jeevan Reddy,BRS,67555,K.R.Suresh Reddy,INC,53591,13964,10.28
12,Bodhan,GENERAL,201666,153168,75.95,Shakil,BRS,67427,Sudarshan Reddy Podduturi,INC,51543,15884,10.37
13,Jukkal,SC,183699,141189,76.86,Hanmanth Shinde,BRS,72901,Gangaram S,INC,37394,35507,25.15
14,Banswada,GENERAL,179477,138151,76.97,Srinivas Reddy Parige,BRS,65868,Balaraju Kasula,INC,41938,23930,17.32
15,Yellareddy,GENERAL,199213,158015,79.32,Eanugu Ravinder Reddy,BRS,70760,Jajala Surender,INC,46751,24009,15.19
