seat_no,seat,booth,BRS,INC,BJP,AIMIM,others,valid_votes,nota,total_polled
61,Jubilee Hills,1,227,200,57,99,8,591,1,592
61,Jubilee Hills,2,94,148,3,38,3,286,0,286
61,Jubilee Hills,2A,149,190,35,34,6,414,3,417
61,Jubilee Hills,3,126,244,13,121,4,508,0,508
61,Jubilee Hills,4,151,248,14,106,2,521,1,522
61,Jubilee Hills,5,173,266,13,138,10,600,2,602
61,Jubilee Hills,6,179,237,10,127,7,560,1,561
61,Jubilee Hills,7,206,136,122,15,5,484,4,488
61,Jubilee Hills,7A,91,81,56,6,2,236,3,239
61,Jubilee Hills,8,335,169,208,18,22,752,4,756
61,Jubilee Hills,9,149,126,75,25,2,377,2,379
61,Jubilee Hills,10,163,86,136,7,10,402,4,406
61,Jubilee Hills,11,307,88,312,7,14,728,4,732
61,Jubilee Hills,12,269,94,270,9,17,659,6,665
61,Jubilee Hills,13,290,92,249,1,9,641,6,647
61,Jubilee Hills,14,178,64,190,6,9,447,3,450
61,Jubilee Hills,15,193,79,233,6,11,522,2,524
61,Jubilee Hills,15A,147,43,196,3,3,392,5,397
61,Jubilee Hills,16,131,271,23,212,10,647,2,649
61,Jubilee Hills,17,102,121,3,116,4,346,0,346
61,Jubilee Hills,17A,142,173,10,140,2,467,2,469
61,Jubilee Hills,18,313,95,351,7,10,776,7,783
61,Jubilee Hills,19,225,149,132,5,13,524,4,528
61,Jubilee Hills,20,167,117,107,7,8,406,3,409
61,Jubilee Hills,21,152,126,90,11,7,386,3,389
61,Jubilee Hills,22,142,132,82,3,7,366,3,369
61,Jubilee Hills,23,241,178,170,30,8,627,5,632
61,Jubilee Hills,24,224,188,100,40,3,555,7,562
61,Jubilee Hills,25,354,146,193,16,5,714,3,717
61,Jubilee Hills,26,332,144,120,15,20,631,10,641
61,Jubilee Hills,27,273,133,74,13,21,514,2,516
61,Jubilee Hills,28,117,238,8,134,1,498,0,498
61,Jubilee Hills,29,149,271,37,142,2,601,4,605
61,Jubilee Hills,30,78,148,21,122,11,380,2,382
61,Jubilee Hills,31,295,124,60,28,18,525,9,534
61,Jubilee Hills,32,144,102,39,53,11,349,3,352
61,Jubilee Hills,32A,128,64,46,24,6,268,3,271
